Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
The Racket,1927,The Caddo Company,Nominee,0,1928,84,Crime,Drama,Film-Noir,6.7,1257,,,NR,Lewis Milestone,,Thomas Meighan, Louis Wolheim, Marie Prevost,,,Paramount Pictures,,100,6,,73,100,1,6,0,3111c2d8-0908-4093-8ff3-99c89f2f2f08
7th Heaven,1927,Fox,Nominee,0,1927,110,Drama,Romance,NG,7.7,3439,,,NR,Frank Borzage,,Janet Gaynor, Charles Farrell, Ben Bard,,,Frank Borzage Production,,100,9,,85,500,1,9,0,19ed3295-a878-4fd2-8e60-5cd7b5f93dad
Wings,1927,Famous Players-Lasky,Winner,1,1927,144,Drama,Romance,War,7.5,12221,"With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an eye toward flying American fighter planes. They leave behind Mary Preston (Clara Bow), a local girl who's in love with David but committed to Jack. Dispatched to France as newly minted pilots, the men take to the skies in one of the war's climactic air battles, and as frantic Mary longs for the safe return of both men, one pays the ultimate price for his bravery.","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.",PG13,William Wellman,"Hope Loring, Louis D. Lighton",Clara Bow, Charles 'Buddy' Rogers, Richard Arlen,46611,42737,Unknown,Certified-Fresh,93,46,Upright,78,3530,9,43,3,2becf7d5-a3de-46ab-ae45-abdd6b588067
Hollywood Revue,1928,Metro-Goldwyn-Mayer,Nominee,0,1929,130,Comedy,Music,NG,5.7,2004,,,NR,Charles Reisner,,John Gilbert, Norma Shearer, Joan Crawford,,,MGM,,43,7,,21,100,3,3,4,689f22d5-a700-4ce1-b9be-65652f32c186
Alibi,1928,Feature Productions,Nominee,0,1929,91,Action,Crime,Romance,5.8,765,,,NR,Roland West,,Chester Morris, Harry Stubbs, Mae Busch,,,United Artists,,50,8,,37,100,0,4,4,609887c2-877c-43a4-b88c-e40e31096a98
The Patriot,1928,Paramount Famous Lasky,Nominee,0,1928,113,Drama,History,Thriller,7.4,18,,,NR,Ernst Lubitsch,,Emil Jannings, Lewis Stone, Florence Vidor,,,Paramount Pictures,,87,8,,82,100,0,4,4,5d4ef7bd-2f81-47f3-9305-2c8fe140d4e4
In Old Arizona,1928,Fox,Nominee,0,1928,95,Western,NG,NG,5.6,1019,"In this early Western, notorious bandit the Cisco Kid (Warner Baxter) is so feared that he rarely has to fire his gun to rob a stagecoach. His ravishing girlfriend, Tonia (Dorothy Burgess), often accuses him of being unfaithful, but he assures her that he loves only her, and even composes a song in her name. When Cavalry Sgt. Mickey Dunn (Edmund Lowe) arrives with a mission to capture or kill the Mexican Robin Hood, Cisco matches wits with him and discovers an unexpected betrayal.",,NR,Irving Cummings,Tom Barry,Warner Baxter, Edmund Lowe, Dorothy Burgess,47112,42806,20th Century Fox,Rotten,56,9,Spilled,38,356,2,5,4,a0644f19-a136-44c2-ab5d-50978ef19608
The Broadway Melody,1928,Metro-Goldwyn-Mayer,Winner,1,1929,100,Drama,Musical,Romance,5.7,6890,"Vaudeville sisters ""Hank"" (Bessie Love) and Queenie Mahoney (Anita Page) take their act to the Broadway stage in New York when Eddie (Charles King), a professional song-and-dance man appearing in a new show, invites his girlfriend Hank to join him. Soon after, Eddie transfers his affections to Queenie, who attempts to do right by her sister by dating another man -- high society member Jock Warriner (Kenneth Thompson). The showbiz melodrama is quickly overshadowed by the romantic subplot.","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",NR,Harry Beaumont,"James Gleason, Norman Houston, Sarah Y. Mason",Anita Page, Bessie Love, Charles King,47150,42791,MGM,Rotten,33,24,Spilled,21,1813,7,8,16,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Disraeli,1929,Warner Bros.,Nominee,0,1929,90,Biography,Drama,History,6.2,1143,,,NR,Alfred E. Green,,George Arliss, Doris Lloyd, David Torrence,,,Warner Bros. Pictures,,83,6,,44,250,0,5,1,831f96b0-ebf5-4e09-b47c-d39817b86092
The Love Parade,1929,Paramount Famous Lasky,Nominee,0,1929,107,Comedy,Musical,Romance,7,2163,,,NR,Ernst Lubitsch,,Maurice Chevalier, Jeanette MacDonald, Lupino Lane,,,Paramount Pictures,,100,6,,77,250,2,6,0,0dbbedb5-b8f0-4f0a-9ff7-95e75e43eca7
The Divorcee,1929,Metro-Goldwyn-Mayer,Nominee,0,1930,84,Romance,Drama,NG,6.7,2982,,,NR,Robert Z. Leonard,,Norma Shearer, Robert Montgomery, Chester Morris,,,MGM,,75,8,,63,500,0,6,2,71614648-8545-4f91-a15e-4991f0eb7f13
The Big House,1929,Cosmopolitan,Nominee,0,1930,87,Crime,Drama,Thriller,7.1,2079,"After being convicted of manslaughter, drunk driver Kent Marlowe (Robert Montgomery) is inducted into the rigors of prison life. He befriends fellow cons ""Machine Gun"" Butch Schmidt (Wallace Beery) and John Morgan (Chester Morris). Together they bristle at the prison's deplorable conditions and especially the inhumane policies of their cruel warden (Lewis Stone). Rising tensions culminate in a prison riot that may shake the institution to its core.",,NR,George W. Hill,"Frances Marion, Martin Flavin, Joseph Farnham, Lennox Robinson",Wallace Beery, Robert Montgomery, Chester Morris,11092,41015,Warner Bros. Pictures,Fresh,75,8,Upright,69,323,0,6,2,297aa285-29d7-4a22-b833-c5632ab3e562
All Quiet on the Western Front,1929,Universal,Winner,1,1930,152,Drama,War,NG,8.1,59214,,,NR,Lewis Milestone,,Lew Ayres, Louis Wolheim, John Wray,,,Universal Pictures,,98,82,,89,10000,26,80,2,281742f9-3b4e-480d-b704-c8c15de6b721
East Lynne,1930,Fox,Nominee,0,1931,102,Drama,Romance,NG,5.9,188,,,NR,Frank Lloyd,,Ann Halding, Clive Brook, Conrad Nagel,,,20th Century Fox,,87,4,,94,100,2,3,1,ed8c7dfc-97ab-4825-8bbc-74d31292acb4
Skippy,1930,Paramount Publix,Nominee,0,1931,85,Comedy,Drama,Family,6.3,772,,,NR,Norman Taurog,,Jackie Cooper, Robert Coogan, Mitzi Green,,,Paramount Pictures,,86,7,,59,250,2,6,1,0f7347c9-a0a5-430b-8f28-43d703c9c4c8
Trader Horn,1930,Metro-Goldwyn-Mayer,Nominee,0,1931,122,Action,Adventure,Drama,6.3,957,,,NR,W.S. Van Dyke,,Harry Carey, Edwina Booth, Duncan Renaldo,,,MGM,,100,8,,37,100,3,8,0,bd308f8f-cb26-43a0-8b5b-f110934927e0
The Front Page,1930,The Caddo Company,Nominee,0,1931,101,Comedy,Crime,Drama,6.8,2741,,,NR,Lewis Milestone,,Adolphe Menjou, Pat O'Brien, Mary Brian,,,United Artists,,87,15,,62,1000,1,13,2,c873d149-786b-413f-ba9d-9978040b5436
Cimarron,1930,RKO Radio,Winner,1,1931,123,Drama,Western,NG,5.9,5851,"In 1889, adventurous lawyer and newspaper editor Yancey Cravat (Richard Dix) convinces his genteel wife, Sabra (Irene Dunne), to join him in the rush to populate Osage, Oklahoma. After they begin to settle into the community, Yancey leaves to go further west. Alone, Sabra inherits his editorial duties and struggles to bring civilization to the rough frontier town. Over a tumultuous 40 years, the couple are repeatedly separated and reunited as Oklahoma makes its long journey to statehood.","Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.",NR,Wesley Ruggles,"Howard Estabrook, Edna Ferber",Richard Dix, Irene Dunne, Estelle Taylor,11349,42743,MGM,Rotten,50,24,Spilled,25,1514,6,12,12,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
Bad Girl,1931,Fox,Nominee,0,1931,90,Drama,Romance,NG,6.5,1248,,,NR,Frank Borzage,,Sally Eilers, James Dunn, Minna Gombell,,,20th Century Fox,,87,1,,39,250,0,1,0,e97f865a-8711-465a-88da-423b67c08738
One Hour with You,1931,Paramount Publix,Nominee,0,1932,78,Comedy,Musical,Romance,7.2,2317,,,NR,Ernst Lubitsch,,Maurice Chevalier, Jeanette MacDonald, Genevieve Tobin,,,Paramount Pictures,,83,6,,76,500,0,5,1,2299e2df-e18d-41d7-b5b9-ec0041db956d
The Smiling Lieutenant,1931,Paramount Publix,Nominee,0,1931,93,Comedy,Romance,Musical,7.2,3540,,,NR,Ernst Lubitsch,,Maurice Chevalier, Claudette Colbert, Miriam Hopkins,,,Paramount Pictures,,88,8,,69,250,3,7,1,cbe0150a-db25-4d46-9d21-183802460465
Arrowsmith,1931,Samuel Goldwyn Productions,Nominee,0,1931,108,Drama,NG,NG,6.2,1663,,,NR,John Ford,,Ronald Colman, Helen Hayes, Richard Bennett,,,United Artists,,89,9,,42,250,0,8,1,91572891-4303-45c2-967a-601b9fa8fe70
The Champ,1931,Metro-Goldwyn-Mayer,Nominee,0,1931,86,Drama,Sport,NG,7.3,3003,"Champ (Wallace Beery) is a down-on-his-luck boxer in Tijuana whose son, Dink (Jackie Cooper), adores him despite Champ's addictions to alcohol and gambling. When Champ wins enough money from a bet to buy Dink a horse, they enter it into a race, where they encounter Linda (Irene Rich), Dink's mother, whom he has never met. Linda's rich new husband, Tony (Hale Hamilton), convinces Champ to let Dink come and stay with them, but Dink's love for his father brings him back to Tijuana.",,NR,King Vidor,"Frances Marion, Leonard Praskins, Wanda Tuchock",Wallace Beery, Jackie Cooper, Irene Rich,11648,42739,MGM,Fresh,90,10,Upright,74,617,2,9,1,c8994348-093e-4e22-8ffe-6ad3332a2bab
Five Star Final,1931,First National,Nominee,0,1931,89,Crime,Drama,NG,7.3,1944,,,NR,Mervyn LeRoy,,Edward G. Robinson, H.B. Warner,Marian Marsh,,,Warner Bros. Pictures,,91,11,,76,250,4,10,1,9236968a-9ea9-473b-abe2-28ec8c141a8e
Shanghai Express,1931,Paramount Publix,Nominee,0,1932,82,Adventure,Drama,Romance,7.3,8325,,,NR,Josef von Sternberg,,Marlene Dietrich, Clive Brook, Anna May Wong,,,Paramount Pictures,,94,33,,79,1000,10,31,2,a6f9841d-533f-4360-9c6a-dbb3d26c8dd6
Grand Hotel,1931,Metro-Goldwyn-Mayer,Winner,1,1932,112,Drama,Romance,NG,7.4,18314,"At a luxurious Berlin hotel between the wars, the once-wealthy Baron Felix von Gaigern (John Barrymore) supports himself as a thief and gambler. In this lavish adaptation of the successful Broadway play, the baron romances one of his marks, the aging ballerina Grusinskaya (Greta Garbo), and teams with dying accountant Otto Kringelein (Lionel Barrymore) against his former boss, crooked industrialist Preysing (Wallace Beery), and his ambitious stenographer, Flaemmchen (Joan Crawford).","Perhaps less a true film than a series of star-studded vignettes, Grand Hotel still remains an entertaining look back at a bygone Hollywood era.",NR,Edmund Goulding,William A. Drake,Greta Garbo, John Barrymore, Joan Crawford,11689,42724,MGM,Certified-Fresh,86,42,Upright,77,7014,10,36,6,be69f946-6adc-47e4-8491-79d6c033f59d
State Fair,1932,Fox,Nominee,0,1933,99,Comedy,Drama,Romance,6.8,829,,,NR,Henry King,,Will Rogers, Janet Gaynor, Lew Ayres,,,20th Century Fox,,87,1,,52,100,0,1,0,01707372-d948-43ef-91ed-f57945a48ed4
Smilin' Through,1932,Metro-Goldwyn-Mayer,Nominee,0,1932,98,Drama,Romance,NG,6.9,1266,,,NR,Sidney Franklin,,Norma Shearer, Leslie Howard, Fredric March,,,MGM,,87,4,,71,100,2,3,1,cd94faa5-73a9-49d2-82ab-4fcafbde6dc8
Lady for a Day,1932,Columbia,Nominee,0,1933,96,Comedy,Drama,NG,7.4,3971,,,NR,Frank Capra,,Warren William, May Robson, Guy Kibbee,,,Columbia Pictures,,100,13,,80,500,1,13,0,7dda746d-5569-4711-afa6-9b76b5e7fa4f
A Farewell to Arms,1932,Paramount,Nominee,0,1932,80,Drama,Romance,War,6.5,5567,"Frederic Henry (Gary Cooper), an American driving ambulances for the Italian Army during World War I, falls for British Red Cross nurse Catherine Barkley (Helen Hayes), to the displeasure of jealous commanding officer Major Rinaldi (Adolphe Menjou), who transfers Catherine to a different hospital out of spite. But after Frederic is injured on the battlefield, he is evacuated to Catherine's new hospital in Milan, and the star-crossed lovers begin their romance anew.",,NR,Frank Borzage,"Frank Borzage, Ernest Hemingway, Benjamin Glazer, Oliver H.P. Garrett",Gary Cooper, Helen Hayes, Adolphe Menjou,12031,42373,Gravitas,Fresh,93,14,Spilled,53,5697,2,14,1,39ab1f95-f400-4cdc-be82-425015486234
Little Women,1932,RKO Radio,Nominee,0,1933,115,Drama,Family,Romance,7.2,6778,"The endearing saga of the March sisters -- Meg (Frances Dee), Jo (Katharine Hepburn), Amy and Beth -- who come of age in New England during the Civil War, is based on the classic Louisa May Alcott novel. With Mr. March away fighting for the Union cause, the girls and their beloved mother, Marmee (Spring Byington), manage to keep their spirits up through dire economic and emotional crises, until Jo's literary aspirations and Meg's romance with a teacher threaten to pull the sisters apart.",,NR,George Cukor,"Sarah Y. Mason, Victor Heerman",Katharine Hepburn, Joan Bennett, Frances Dee,12374,39448,Warner Bros. Pictures,Fresh,94,16,Upright,78,9776,3,16,2,f6fa2e25-588d-414f-a59d-67b9eb033270
The Private Life of Henry VIII,1932,London Films,Nominee,0,1933,97,Biography,Comedy,Drama,7.1,4090,"Renowned for his excess, King Henry VIII (Charles Laughton) goes through a series of wives during his rule. With Anne Boleyn (Merle Oberon), his second wife, executed on charges of treason, King Henry weds maid Jane Seymour (Wendy Barrie), but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves (Elsa Lanchester) as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",,NR,Alexander Korda,"Lajos Biró, Arthur Wimperis",Charles Laughton, Merle Oberon, Binnie Barnes,12318,42593,Criterion Collection,Fresh,100,16,Upright,74,1295,0,16,0,625a769c-475b-4c27-8c25-01905fe4f583
She Done Him Wrong,1932,Paramount,Nominee,0,1933,66,Comedy,Drama,History,6.4,5899,"Burlesque barroom singer Lady Lou (Mae West) knows everyone in town, especially the men. Unfortunately, her convict ex-boyfriend Chick Clark (Owen Moore) is the jealous type and vows violence against her if she behaves unfaithfully while he's in prison. To make matters worse, Lou's boss, Gus Jordan (Noah Beery Sr.), secretly runs a prostitution and counterfeiting ring, and the director of the city mission next door is actually a federal agent (Cary Grant). What's a girl to do?","She Done Him Wrong, but putting Cary Grant and Mae West together is pretty much nothing but right.",NR,Lowell Sherman,"Mae West, Harvey Thew, John Bright",Mae West, Cary Grant, Gilbert Roland,12094,42257,MCA Universal Home Video,Fresh,91,22,Spilled,53,2240,4,20,2,af3be976-1cee-4383-a6f1-50545a634ab5
42nd Street,1932,Warner Bros.,Nominee,0,1933,89,Comedy,Drama,Musical,7.4,11342,"When revered Broadway director Julian Marsh (Warner Baxter) falls on hard times with both his health and his finances, he helms an ambitious musical as a final production before his retirement. His lead actress, Dorothy Brock (Bebe Daniels), is torn between two loves--the show's wealthy backer, Abner Dillon (Guy Kibbee), and the earnest but penniless actor Pat Denning (George Brent) --while aspiring young performer Peggy Sawyer (Ruby Keeler) waits in the wings, hoping for her big break.","Bubsy Berkeley does it again in 42nd Street, a brilliant depression-era romp with stellar musical numbers and impeccable choreography.",NR,Lloyd Bacon,"Rian James, James Seymour, Whitney Bolton",Warner Baxter, Bebe Daniels, George Brent,12122,41015,MGM,Fresh,96,25,Upright,74,7561,4,24,1,1ad59370-1ed5-4d3a-a8c4-8571f95da168
I Am a Fugitive from a Chain Gang,1932,Warner Bros.,Nominee,0,1932,92,Crime,Drama,Film-Noir,8.2,12604,,,NR,Mervyn LeRoy,,Paul Muni, Glenda Farrell, Helen Vinson,,,Warner Bros. Pictures,,96,27,,91,2500,5,26,1,e36dda02-b84a-4337-ad66-cfa30a5df599
Cavalcade,1932,Fox,Winner,1,1933,112,Drama,Romance,War,5.9,4961,"Upper-crust Londoners Robert and Jane Marryot (Clive Brook, Diana Wynyard) and their working-class counterparts, Alfred and Ellen Bridges, experience life's many triumphs and tragedies from the Boer War at the dawn of the 20th century up to 1930s. Queen Victoria's death and the sinking of the Titanic etch deep scars on both families, but the outbreak of World War I and its dramatic aftermath proves to be the greatest test of their courage and friendship.","Though solidly acted and pleasant to look at, Cavalcade lacks cohesion, and sacrifices true emotion for mawkishness.",NR,Frank Lloyd,Reginald Berkeley,Diana Wynyard, Clive Brook, Ursula Jeans,12055,42414,20th Century Fox,Rotten,59,29,Spilled,26,1027,10,17,12,e71a2212-92c3-4212-9eb2-d468f10c768e
Here Comes the Navy,1934,Warner Bros.,Nominee,0,1934,87,Comedy,Drama,Romance,6.3,940,,,NR,Lloyd Bacon,,James Cagney, Pat O'Brien, Gloria Stuart,,,Warner Bros. Pictures,,80,5,,39,250,2,4,1,becfca3d-e679-46b3-a592-a13fcef61f5a
Flirtation Walk,1934,First National,Nominee,0,1934,97,Musical,Romance,NG,5.7,700,,,NR,Frank Borzage,,Dick Powell, Ruby Keeler, Pat O'Brien,,,Warner Bros. Pictures,,100,5,,27,100,2,5,0,97e60fc4-5f01-412e-b350-075f1c78939f
One Night of Love,1934,Columbia,Nominee,0,1934,84,Music,Romance,NG,5.7,577,,,NR,Victor Schertzinger,,Grace Moore, Tullio Carminati, Lyle Talbot,,,Columbia Pictures,,71,7,,45,100,2,5,2,ff621866-7c96-4eb3-855c-0c10be8340ce
The White Parade,1934,Jesse L. Lasky (production company),Nominee,0,1934,80,Drama,NG,NG,6.8,86,,,NR,Irving Cummings,,Loretta Young, John Boles, Dorothy Wilson,,,20th Century Fox,,87,7,,82,50,2,4,3,8d241c99-a9e3-4371-8011-949b36ca7f47
The Barretts of Wimpole Street,1934,Metro-Goldwyn-Mayer,Nominee,0,1934,109,Biography,Drama,Romance,7,1795,"Remarkable poet Elizabeth Barrett (Norma Shearer) is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta (Maureen O'Sullivan), but feels stifled by the domestic tyranny of her wealthy widowed father, Edward (Charles Laughton). When she meets fellow poet Robert Browning (Fredric March) in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.",,NR,Sidney Franklin,"Ernest Vajda, Claudine West, Donald Ogden Stewart",Norma Shearer, Fredric March, Charles Laughton,12670,42811,MGM,Fresh,78,9,Upright,69,335,3,7,2,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
Viva Villa!,1934,Metro-Goldwyn-Mayer,Nominee,0,1934,115,Action,Biography,Romance,6.4,1277,,,NR,Jack Conway,,Wallace Beery, Fay Wray, Leo Carrillo,,,MGM,,60,10,,48,2,1,6,4,3ca53584-968b-4ef8-9a29-408223864bc9
Cleopatra,1934,Paramount,Nominee,0,1934,100,Biography,Drama,History,6.8,3678,,,NR,Cecil B. DeMille,,Claudette Colbert, Warren William, Henry Wilcoxon,,,Paramount Pictures,,82,11,,67,500,2,9,2,30a8cacf-0902-4d8c-9c02-934c09e284a6
The House of Rothschild,1934,20th Century,Nominee,0,1934,88,Biography,Drama,History,6.6,1127,,,NR,Alfred L. Werker,,George Arliss, Boris Karloff, Loretta Young,,,United Artists,,100,11,,54,100,4,11,0,a1f33617-6fce-4106-bcd4-4e5b540175e2
The Gay Divorcee,1934,RKO Radio,Nominee,0,1934,107,Comedy,Musical,Romance,7.5,7455,"In this beloved musical, Mimi Glossop (Ginger Rogers) journeys to England to seek a divorce from her absentee husband. When Mimi meets dashing performer Guy Holden (Fred Astaire), sparks fly, and, most importantly, lavish song-and-dance numbers ensue. While romance and comedy factor into the film, the production is largely a showcase for the legendary talents of Rogers and Astaire, most notably displayed in an extended sequence during the third act.",,NR,Mark Sandrich,"George Marion Jr., Edward Kaufman, Dwight Taylor, Dorothy Yost",Fred Astaire, Ginger Rogers, Betty Grable,12704,39678,RKO Radio Pictures,Fresh,93,14,Upright,82,3378,0,13,1,4cff46f4-7853-40a0-9b52-39643b2d257a
Imitation of Life,1934,Universal,Nominee,0,1934,111,Drama,Romance,NG,7.5,4423,"Widow Bea Pullman (Claudette Colbert) and her daughter, Jessie, take in a fair-skinned black girl and her mother, housekeeper Delilah Johnson (Louise Beavers). Struggling to make ends meet, Delilah shares her family pancake recipe with Bea, and the two decide to start a business on the Atlantic City boardwalk. Together, the women find great success and considerable fortune, but they also encounter family hardships and some deep-seated identity and racial problems.",,NR,John M. Stahl,William Hurlbut,Claudette Colbert, Louise Beavers, Fredi Washington,12749,42479,Universal Pictures,Fresh,92,24,Upright,85,4562,7,22,2,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
The Thin Man,1934,Metro-Goldwyn-Mayer,Nominee,0,1934,91,Comedy,Crime,Mystery,8,27959,"The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter (Maureen O'Sullivan) goes to private detective Nick Charles (William Powell) for help.","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",NR,W.S. Van Dyke,"Dashiell Hammett, Frances Goodrich, Albert Hackett",William Powell, Myrna Loy, Maureen O'Sullivan,12562,39814,MGM,Fresh,97,39,Upright,93,12999,6,38,1,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
It Happened One Night,1934,Columbia,Winner,1,1934,105,Comedy,Romance,NG,8.1,98409,"In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her tycoon father (Walter Connolly) to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne (Clark Gable), who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress.","Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.",NR,Frank Capra,Robert Riskin,Claudette Colbert, Clark Gable, Walter Connolly,12472,41015,Sony Pictures Home Entertainment,Certified-Fresh,98,60,Upright,93,33678,15,59,1,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
David Copperfield,1935,Metro-Goldwyn-Mayer,Nominee,0,1935,130,Adventure,Drama,Romance,7.4,4069,,,NR,George Cukor,,W.C. Fields, Freddie Bartholomew, Basil Rathbone,,,MGM,,100,5,,76,500,0,5,0,303fd7b4-de82-4d82-a79f-857b45dda877
The Lives of a Bengal Lancer,1935,Paramount,Nominee,0,1935,109,Adventure,Drama,War,7.1,2813,,,NR,Henry Hathaway,,Gary Cooper, Franchot Tone, Richard Cromwell,,,Paramount Pictures,,100,8,,71,250,0,8,0,f6953c25-25ea-41d3-807c-ef4fdfed54cd
Naughty Marietta,1935,Metro-Goldwyn-Mayer,Nominee,0,1935,105,Drama,Musical,Romance,6.7,1307,,,G,W.S. Van Dyke,,Jeanette MacDonald, Nelson Eddy, Frank Morgan,,,MGM,,56,9,,76,500,4,5,4,adde70ec-0094-4ce0-91ff-6b9ab12387fd
Broadway Melody of 1936,1935,Metro-Goldwyn-Mayer,Nominee,0,1935,101,Musical,Romance,NG,6.8,1662,,,NR,Roy Del Ruth,,Jack Benny, Eleanor Powell, Robert Taylor,,,MGM,,89,9,,76,250,0,8,1,11f40e01-e1d5-4f74-ae72-230823543e37
A Midsummer Night's Dream,1935,Warner Bros.,Nominee,0,1935,133,Comedy,Fantasy,Romance,6.9,3339,"In this classic screen adaptation of Shakespeare's fantastical play, the royal wedding plans of Theseus, the duke of Athens (Ian Hunter) and Hippolyta overlap with the antics of forest fairies, led by Oberon and Titania, and a ragtag troupe of actors. Meanwhile, young lovers, including Lysander (Dick Powell) and Hermia (Olivia de Havilland), deceive each other in amusing ways, and magic adds a mischievous element to this enchanted romantic comedy.",,NR,William Dieterle,"Mary C. McCall Jr., Charles Kenyon",Ian Hunter, James Cagney, Olivia de Havilland,13066,39814,Warner Bros. Pictures,Fresh,91,11,Upright,62,1229,0,10,1,dee5c6d4-6438-4110-b72a-a49322b52070
Les Miserables,1935,20th Century,Nominee,0,1935,108,Drama,History,Romance,7.7,3468,,,NR,Richard Boleslawski,,Fredric March, Charles Laughton, Cedric Hardwicke,,,20th Century Fox,,85,13,,86,2500,3,11,2,521b9bf2-426b-49a1-aeb3-d228db8a970c
The Informer,1935,RKO Radio,Nominee,0,1935,91,Crime,Drama,NG,7.4,6169,"Gypo Nolan (Victor McLaglen) is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend (Margot Grahame). So when British authorities advertise a reward for information about his best friend, current IRA member Frankie (Wallace Ford), Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?",,NR,John Ford,Dudley Nichols,Victor McLaglen, Preston S. Foster, J.M. Kerrigan,12905,42131,Media Home Entertainment,Fresh,94,16,Upright,77,1081,0,15,1,98c15d3b-d3c6-4af3-b717-12d446154f5d
Ruggles of Red Gap,1935,Paramount,Nominee,0,1935,90,Comedy,Romance,Western,7.6,3874,,,NR,Leo McCarey,,Charles Laughton, Mary Boland, Charlie Ruggles,,,Paramount Pictures,,100,16,,90,500,4,16,0,f4c74985-f2ec-45db-b8aa-444087ad34d4
Alice Adams,1935,RKO Radio,Nominee,0,1935,99,Comedy,Drama,Romance,6.9,4020,"Based on the award-winning novel by Booth Tarkington, this comedic drama follows a young working-class woman (Katharine Hepburn) as she attempts, unsuccessfully, to climb the social ladder. When she meets the wealthy Arthur Russell (Fred MacMurray), he is amused by her efforts to maintain an upper-crust facade, and she is thrilled when he agrees to have dinner at her family's home. Things teeter on the brink of disaster as the Adams clan frantically tries to create an evening of fine dining.",,NR,George Stevens,"Mortimer Offner, Dorothy Yost",Katharine Hepburn, Fred MacMurray, Fred Stone,12785,42695,Turner Home Entertainment,Fresh,94,17,Upright,71,2419,4,16,1,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
Captain Blood,1935,Cosmopolitan,Nominee,0,1935,119,Action,Adventure,History,7.7,13708,"In England in the 1600s, Dr. Peter Blood (Errol Flynn) treats the wounds of a man who had been injured in a rebellion against King James II, for which he is convicted of treason and sold into slavery in the Caribbean colony of Port Royal, Jamaica. Despite the kindnesses of his new owner, Arabella Bishop (Olivia de Havilland), Blood and his fellow slaves escape to begin a life of high-seas piracy. But when Captain Blood crosses paths with Arabella again years later, he remembers her compassion.",,NR,Michael Curtiz,Casey Robinson,Errol Flynn, Olivia de Havilland, Basil Rathbone,13146,39448,20th Century Fox,Fresh,100,27,Upright,89,8194,4,27,0,106183d2-50d3-4d50-8ead-6ed52a93f7c6
Mutiny on the Bounty,1935,Metro-Goldwyn-Mayer,Winner,1,1935,132,Adventure,Biography,Drama,7.7,21805,"As the cruel captain of the HMS Bounty, a ship bound for Tahiti, William Bligh (Charles Laughton) wins few friends. When the crew members finally tire of his abuse, Fletcher Christian (Clark Gable) leads a mutiny, resulting in Bligh's unceremonious removal from the ship. While Christian and the remaining crew sail on to Tahiti, Bligh becomes intent on exacting revenge, and he targets Roger Byam (Franchot Tone), a sailor who had actually tried to stop the mutiny.","The historical inaccuracies in this high-seas adventure are more than offset by its timeless themes, larger-than-life performances from Clark Gable and Charles Laughton, and Frank Lloyd's superb direction.",NR,Frank Lloyd,"Jules Furthman, Talbot Jennings, Carey Wilson",Charles Laughton, Clark Gable, Franchot Tone,13096,42801,MGM,Certified-Fresh,93,41,Upright,83,8061,9,38,3,3cea2927-f5a4-4ffb-9e17-88566f2cd111
