Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Moneyball,2011,"Michael De Luca, Rachael Horovitz, and Brad Pitt",Nominee,0,2011,133,Biography,Drama,Sport,7.6,389329,"Billy Beane (Brad Pitt), general manager of the Oakland A's, one day has an epiphany: Baseball's conventional wisdom is all wrong. Faced with a tight budget, Beane must reinvent his team by outsmarting the richer ball clubs. Joining forces with Ivy League graduate Peter Brand (Jonah Hill), Beane prepares to challenge old-school traditions. He recruits bargain-bin players whom the scouts have labeled as flawed, but have game-winning potential. Based on the book by Michael Lewis.","Director Bennett Miller, along with Brad Pitt and Jonah Hill, take a niche subject and turn it into a sharp, funny, and touching portrait worthy of baseball lore.",PG13,Bennett Miller,"Steven Zaillian, Aaron Sorkin",Brad Pitt, Jonah Hill, Philip Seymour Hoffman,40809,41520,Sony Pictures Classics,Certified-Fresh,94,266,Upright,86,91772,55,250,16,7b46b3b9-1924-4db8-a286-956320d88dfa
The Tree of Life,2011,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill",Nominee,0,2011,139,Drama,Fantasy,NG,6.8,171734,"In this highly philosophical film by acclaimed director Terrence Malick, young Jack (Hunter McCracken) is one of three brothers growing up as part of the O'Brien family in small-town Texas. Jack has a contentious relationship with his father (Brad Pitt), but gets along well with his beautiful mother (Jessica Chastain). As an adult, Jack (Sean Penn) struggles with his past and tries to make sense of his childhood, while also grappling with bigger existential issues.","Terrence Malick's singularly deliberate style may prove unrewarding for some, but for patient viewers, Tree of Life is an emotional as well as visual treat.",PG13,Terrence Malick,Terrence Malick,Brad Pitt, Sean Penn, Jessica Chastain,40690,42333,Fox Searchlight,Certified-Fresh,85,286,Upright,60,60899,58,242,44,cd62128e-0cf2-467d-a82a-4fb7c5d4d445
The Artist,2011,Thomas Langmann,Winner,1,2011,100,Comedy,Drama,Romance,7.9,235457,"In the 1920s, actor George Valentin (Jean Dujardin) is a bona fide matinee idol with many adoring fans. While working on his latest film, George finds himself falling in love with an ingenue named Peppy Miller (Bérénice Bejo) and, what's more, it seems Peppy feels the same way. But George is reluctant to cheat on his wife with the beautiful young actress. The growing popularity of sound in movies further separates the potential lovers, as George's career begins to fade while Peppy's star rises.","A crowd-pleasing tribute to the magic of silent cinema, The Artist is a clever, joyous film with delightful performances and visual style to spare.",PG13,Michel Hazanavicius,Michel Hazanavicius,Jean Dujardin, Bérénice Bejo, John Goodman,40872,41674,The Weinstein Company,Certified-Fresh,95,317,Upright,87,58629,64,302,15,d200f517-17a4-4d43-8be6-2cf5d36d6bfa
Beasts of the Southern Wild,2012,"Dan Janvey, Josh Penn, and Michael Gottwald",Nominee,0,2012,93,Adventure,Drama,Fantasy,7.3,82051,"Six-year-old Hushpuppy (Quvenzhané Wallis) lives with her father, Wink (Dwight Henry), in a remote Delta community. Wink is a stern taskmaster, but he is preparing his young daughter for the end of the world. When Wink falls mysteriously ill, nature seems to fall ill with him. Temperatures rise, the ice caps melt and fearsome prehistoric beasts called aurochs run loose. Rising waters threaten to engulf their community, sending Hushpuppy in search of her long-lost mother.","Beasts of the Southern Wild is a fantastical, emotionally powerful journey and a strong case of filmmaking that values imagination over money.",PG13,Benh Zeitlin,"Benh Zeitlin, Lucy Alibar",Dwight Henry, Lowell Landes, Levy Easterly,41087,42333,Fox Searchlight,Certified-Fresh,87,204,Upright,76,39335,53,177,27,7b0b3303-0178-4978-a5d5-818ab2209cc2
Amour,2012,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz",Nominee,0,2012,127,Drama,NG,NG,7.9,96258,"Retired music teachers Georges (Jean-Louis Trintignant) and Anne (Emmanuelle Riva) have spent their lives devoted to their careers and to each other. Their relationship faces its greatest challenge when Anne suffers a debilitating stroke. Though Georges himself suffers from the aches and infirmities of old age, he bravely ignores his own discomfort to take care of his wife, and is determined to keep his promise to her that she never go back to the hospital.","With towering performances and an unflinching script from Michael Haneke, Amour represents an honest, heartwrenching depiction of deep love and responsibility.",PG13,Michael Haneke,"Michael Haneke, Michaelhaneke",Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert,41262,42564,Sony Pictures Classics,Certified-Fresh,93,223,Upright,82,20897,59,207,16,96b5b091-519c-4924-8bc0-76acde8979c5
Life of Pi,2012,"Gil Netter, Ang Lee, and David Womark",Nominee,0,2012,127,Adventure,Drama,Fantasy,7.9,598436,"After deciding to sell their zoo in India and move to Canada, Santosh and Gita Patel board a freighter with their sons and a few remaining animals. Tragedy strikes when a terrible storm sinks the ship, leaving the Patels' teenage son, Pi (Suraj Sharma), as the only human survivor. However, Pi is not alone; a fearsome Bengal tiger has also found refuge aboard the lifeboat. As days turn into weeks and weeks drag into months, Pi and the tiger must learn to trust each other if both are to survive.","A 3D adaptation of a supposedly ""unfilmable"" book, Ang Lee's Life of Pi achieves the near impossible -- it's an astonishing technical achievement that's also emotionally rewarding.",PG,Ang Lee,David Magee,Suraj Sharma, Irrfan Khan, Tabu,41234,41851,20th Century Fox,Certified-Fresh,87,251,Upright,84,169196,54,218,33,e21da27c-6ce5-4de2-b31c-82bfafd8a585
Les Misérables,2012,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh",Nominee,0,2012,158,Drama,History,Musical,7.6,317030,"After 19 years as a prisoner, Jean Valjean (Hugh Jackman) is freed by Javert (Russell Crowe), the officer in charge of the prison workforce. Valjean promptly breaks parole but later uses money from stolen silver to reinvent himself as a mayor and factory owner. Javert vows to bring Valjean back to prison. Eight years later, Valjean becomes the guardian of a child named Cosette after her mother's (Anne Hathaway) death, but Javert's relentless pursuit means that peace will be a long time coming.","Impeccably mounted but occasionally bombastic, Les Misérables largely succeeds thanks to bravura performances from its distinguished cast.",PG13,Tom Hooper,"Claude-Michel Schonberg, William Nicholson, Claude-Michel Schoenberg, Alain Boublil, Herbert Kretzmer",Hugh Jackman, Russell Crowe, Anne Hathaway,41268,41884,Universal Pictures,Fresh,69,255,Upright,79,265259,49,177,78,d7ede1ef-73aa-4ffe-8d0e-254b90588f95
Silver Linings Playbook,2012,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",Nominee,0,2012,122,Comedy,Drama,Romance,7.7,679022,"After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living with his parents (Robert De Niro, Jacki Weaver). He wants to rebuild his life and reunite with his wife, but his parents would be happy if he just shared their obsession with the Philadelphia Eagles. Things get complicated when Pat meets Tiffany (Jennifer Lawrence), who offers to help him reconnect with his wife, if he will do something very important for her in exchange.","Silver Linings Playbook walks a tricky thematic tightrope, but David O. Russell's sensitive direction and some sharp work from a talented cast gives it true balance.",R,David O. Russell,David O. Russell,Bradley Cooper, Jennifer Lawrence, Robert De Niro,41234,42826,The Weinstein Company,Certified-Fresh,92,256,Upright,86,260499,57,236,21,c3b2fd62-298b-4692-afb8-ab18bdc11e80
Lincoln,2012,Steven Spielberg and Kathleen Kennedy,Nominee,0,2011,118,Crime,Drama,Mystery,7.3,223752,,,PG13,Steven Spielberg,,Daniel Day-Lewis, Sally Field, David Strathairn,,,Dre SKG,,89,285,,81,100000,69,253,32,af47c834-a347-4036-991f-c192418f19dd
Django Unchained,2012,"Stacey Sher, Reginald Hudlin, and Pilar Savone",Nominee,0,2012,165,Drama,Western,NG,8.4,1420092,"Two years before the Civil War, Django (Jamie Foxx), a slave, finds himself accompanying an unorthodox German bounty hunter named Dr. King Schultz (Christoph Waltz) on a mission to capture the vicious Brittle brothers. Their mission successful, Schultz frees Django, and together they hunt the South's most-wanted criminals. Their travels take them to the infamous plantation of shady Calvin Candie (Leonardo DiCaprio), where Django's long-lost wife (Kerry Washington) is still a slave.","Bold, bloody, and stylistically daring, Django Unchained is another incendiary masterpiece from Quentin Tarantino.",R,Quentin Tarantino,Quentin Tarantino,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,41268,42818,The Weinstein Company,Certified-Fresh,87,288,Upright,91,429231,55,250,38,cca88b79-5fdc-40c6-845f-43c3421cbbee
